brand_name,product_description,full_price,discount_price,avg_rating,number_of_rating,image_url,product_details,available_option
Polaroid,Polaroid Go Instant Camera Generation 2 - White,0.0,0.0,4.0,74.0,,,"Black, $72.35Black$72.35', 'selected, White, $79.00White$79.00"
ZOSI,"3MP WiFi Security Camera System with 12.5"" LCD Monitor, ZOSI All in one Wireless Security Camera System, 2K Outdoor Wifi Cameras, 2 Way Audio, 100ft Night Vision, 2TB for Home Business 24/7 Recording",499.99,284.99,4.2,16.0,,,
Polaroid,"Polaroid Wave Underwater Digital Camera with HD Video Recording, Waterproof Action Camera",39.98,29.95,3.8,259.0,,,
Visit the NBD Store,"NBD Digital Camera 4K 48MP Vlogging Camera, Perfect Camera for Photography with 32GB SD Card",199.96,129.96,4.1,7.0,,,
Wednkoly,4K Digital Camera for Photography Autofocus 48MP Vlogging Camera for Youtube 16X Digital Zoom Cameras with SD Card,229.99,74.99,4.2,37.0,,,"selected, Black, $74.99Black$74.99', 'Brown, $74.99Brown$74.99"
Wednkoly,4K Digital Camera Autofocus for Photography 48MP 4K Cameras for YouTube 16X Digital Zoom Vlog Camera with 32GB SD Card,229.99,74.99,4.2,37.0,,,"Black, $74.99Black$74.99', 'selected, Brown, $74.99Brown$74.99"
Visit the eufy Store,"eufy Security Solo Indoor-Cam C220 Wired 2K Surveillance Camera, 24/7 Recording, AI Human Detection",0.0,0.0,4.5,98.0,,,
Kodak,KODAK PIXPRO AZ401 Bridge Digital Camera - 16MP 40X Optical Zoom HD720p video (Red),0.0,0.0,3.9,293.0,,,
Visit the Canon Store,Canon EOS R50 Mirrorless Camera with RF-S 18-45mm Lens + 2 Pack SanDisk 64GB Memory Card + Case + ZeeTech Accessory,0.0,0.0,4.2,5.0,,,
Visit the GoPro Store,GoPro HERO12 Black Camera,399.0,299.0,4.2,66.0,"https://i5.walmartimages.com/seo/GoPro-HERO12-Black-Camera_3c7284db-0cc1-4e9c-9480-57ac390aab46.8e94c18112b28dbef0b3f5b465e656eb.jpeg?odnHeight=117&odnWidth=117&odnBg=FFFFFF', 'https://i5.walmartimages.com/seo/GoPro-HERO12-Black-Camera_3c7284db-0cc1-4e9c-9480-57ac390aab46.8e94c18112b28dbef0b3f5b465e656eb.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF",,
Egymen,"EGYMEN 48MP Retro Digital Camera with Anti-Shake, 8X Zoom, and Face Detection for Photos and Videos",0.0,0.0,0.0,0.0,,,"selected, Black F, $22.19$22.19', 'Silver, $22.19$22.19"
Egymen,"EGYMEN 48MP Retro Digital Camera with Anti-Shake, 8X Zoom, and Face Detection for Photos and Videos",0.0,0.0,0.0,0.0,,,"Black F, $22.19$22.19', 'selected, Silver, $22.19$22.19"
Fujifilm,Fujifilm Instax Mini 40 Camera Blister Bundle with Bonus Film (10-pack of film),0.0,0.0,4.7,153.0,,,
Gmogad,Gmogad 1080P High-definition Digital Camera 50 Million Photos 16x Digital Zoom Camera No Shaking Proof Home Camera White,0.0,0.0,0.0,0.0,"https://i5.walmartimages.com/seo/Gmogad-1080P-High-definition-Digital-Camera-50-Million-Photos-16x-Digital-Zoom-Camera-No-Shaking-Proof-Home-Camera-White_5b4cd06b-4d5d-4461-b119-6ffaef889e35.fb82c628f964294e98f542ecc4363e58.jpeg?odnHeight=117&odnWidth=117&odnBg=FFFFFF', 'https://i5.walmartimages.com/seo/Gmogad-1080P-High-definition-Digital-Camera-50-Million-Photos-16x-Digital-Zoom-Camera-No-Shaking-Proof-Home-Camera-White_5b4cd06b-4d5d-4461-b119-6ffaef889e35.fb82c628f964294e98f542ecc4363e58.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF",,"selected, As Shown, $20.96As Shown$20.96"
LYUCRAZ,"LYUCRAZ Digital Cameras New High-definition Infrared Night Vision Digital Camera , Can Take Photos And Record Videos, Day And Night Infrared Night Vision Device 800m All Black Visible",58.99,52.99,0.0,0.0,,,"selected, Free Size, $52.99Free SizeNow $52.99"
Ring_Floodlight,"Ring_Floodlight_Cam Wired Plus with motion-activated 1080p HD video, White + Window sticker + VIECAM Cleaning Cloth",0.0,0.0,4.3,3.0,,,
Visit the GPED Store,"Baby Monitor, 360° Wireless 5G Nanny Cam with Safety Alerts, 4MP HD WiFi Camera for Human & Pet Detection, Home Security Camera with Two-Way Audio, Motion Tracking, IR Night Vision",89.99,18.24,4.4,0.0,,,"Baby Monitor with 2 Lens, $26.99$26.99', 'selected, White/with iCam365 APP, $18.24$18.24"
GPED,"GPED Baby Monitor with Dual Cameras, 3K HD WiFi Security Camera W/ 360° PTZ & Fixed Camera,, Motion Tracking & Full-Color Night Vision for Baby Monitor/Pet Camera, 2-Way Audio for Baby Pet Elderly",181.99,26.99,4.4,0.0,,,"selected, Baby Monitor with 2 Lens, $26.99$26.99', 'White/with iCam365 APP, $18.24$18.24"
Visit the GPED Store,"(2 pack) Baby Monitor, 360° Wireless 5G Nanny Cam with Safety Alerts, 4MP HD WiFi Camera for Human & Pet Detection, Home Security Camera with Two-Way Audio, Motion Tracking, IR Night Vision",0.0,0.0,4.4,0.0,,,"Baby Monitor with 2 Lens', 'selected, White/with iCam365 APP, $34.66$34.66"
