brand_name,product_description,full_price,discount_price,avg_rating,number_of_rating,image_url,product_details,available_option
Elegant Choise,Elegant Choise Kids Piano Keyboard 61 Key Electronic with Music Stand for Children,0.0,0.0,4.0,94.0,"https://i5.walmartimages.com/seo/Elegant-Choise-Kids-Piano-Keyboard-61-Key-Electronic-with-Music-Stand-for-Children_0fe36dba-d2cc-471b-b8f9-6104423e34f0.a2ebfb377f6c669586f91a1f18aebc10.jpeg?odnHeight=117&odnWidth=117&odnBg=FFFFFF', 'https://i5.walmartimages.com/seo/Elegant-Choise-Kids-Piano-Keyboard-61-Key-Electronic-with-Music-Stand-for-Children_0fe36dba-d2cc-471b-b8f9-6104423e34f0.a2ebfb377f6c669586f91a1f18aebc10.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF",,
Fenbeli,Fenbeli 88 Key Digital Piano Full Size Keyboard Sensitive Touch Recording Includes One Pedal Electric Piano Keyboard for Beginners,0.0,0.0,4.8,152.0,,,
Visit the SteelSeries Store,SteelSeries Apex 9 TKL Mechanical Gaming Keyboard – Tenkeyless – RGB – USB-C - Mac/PC,0.0,0.0,4.8,34.0,,,
Eccomum,"Eccomum Foldable Piano Keyboard, 61 Key Digital Keyboard Piano Semi Weighted Keys Portable Electric Piano with Music Rest, Piano Bag, Piano Pedal for Beginners, Teens, Adults",95.99,69.99,4.2,12.0,,,
Glarry,"Glarry 61 Key Lighting Keyboard with Piano Stand, Piano Bench, Built In Speakers for Beginners",171.98,72.99,3.8,21.0,,,
RockJam,"Rockjam 61-Key Keyboard Piano Kit with Stand, Bench, Music Stand, Headphones, Piano Note Stickers & Lessons",0.0,0.0,4.6,50.0,,,
Alesis,Alesis ASP-2 Sustain Pedal,0.0,0.0,4.7,49.0,"https://i5.walmartimages.com/seo/Alesis-ASP-2-Sustain-Pedal_55614dee-a1fc-4ccb-b5cd-164e46dc8da9.6601ac7a39aba92d3da4223a178b622c.jpeg?odnHeight=117&odnWidth=117&odnBg=FFFFFF', 'https://i5.walmartimages.com/seo/Alesis-ASP-2-Sustain-Pedal_55614dee-a1fc-4ccb-b5cd-164e46dc8da9.6601ac7a39aba92d3da4223a178b622c.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF",,
Visit the SteelSeries Store,SteelSeries Apex Pro Mechanical Gaming Keyboard – Adjustable Actuation Switches – OLED Smart Display – RGB Backlit - With Rapid Tap,199.99,174.99,4.3,9.0,,,
MOFII,"Mofii 666 Wireless Keyboard Mouse Combo,2.4G Colored keyboard ,110 Key Cute Keyboard Mouse Set with Round Punk Keycaps for Girl Blue",0.0,0.0,3.8,85.0,,,"Black, $24.99$24.99', 'selected, Blue, $24.99$24.99', 'Green, $23.99$23.99', 'Light Brown, $24.99$24.99', 'Pink, $24.99$24.99', 'Purple, $24.99$24.99"
MOFII,"Mofii 666 Wireless Keyboard Mouse Combo,2.4G Colored keyboard ,110 Key Cute Keyboard Mouse Set with Round Punk Keycaps for Girl Black",99.01,24.99,3.8,85.0,,,"selected, Black, $24.99$24.99', 'Blue, $24.99$24.99', 'Green, $23.99$23.99', 'Light Brown, $24.99$24.99', 'Pink, $24.99$24.99', 'Purple, $24.99$24.99"
