brand_name,product_description,full_price,discount_price,avg_rating,number_of_rating,image_url,product_details,available_option
Visit the Anker Store,"Anker MagGo Power Bank, Qi2 Certified 15W Ultra-Fast MagSafe-Compatible Portable Charger, 10,000mAh Battery Pack with Smart Display and Foldable Stand, For iPhone 15/14/13/12 Only(USB-C Cable Include)",0.0,0.0,4.5,76.0,,,"Black, $89.99Black$89.99', 'selected, Blue, $87.49Blue$87.49', 'Green, $89.99Green$89.99', 'Purple, $89.99Purple$89.99', 'White, $89.99White$89.99"
Visit the Anker Store,"Anker MagGo Power Bank, Qi2 Certified 15W Ultra-Fast MagSafe-Compatible Portable Charger, 10,000mAh Battery Pack with Smart Display and Foldable Stand, For iPhone 15/14/13/12 Only(USB-C Cable Include)",0.0,0.0,4.5,76.0,,,"Black, $89.99Black$89.99', 'Blue, $87.49Blue$87.49', 'selected, Green, $89.99Green$89.99', 'Purple, $89.99Purple$89.99', 'White, $89.99White$89.99"
Visit the Anker Store,"Anker MagGo Power Bank, Qi2 Certified 15W Ultra-Fast MagSafe-Compatible Portable Charger, 10,000mAh Battery Pack with Smart Display and Foldable Stand, For iPhone 15/14/13/12 Only(USB-C Cable Include)",0.0,0.0,4.5,76.0,,,"Black, $89.99Black$89.99', 'Blue, $87.49Blue$87.49', 'Green, $89.99Green$89.99', 'selected, Purple, $89.99Purple$89.99', 'White, $89.99White$89.99"
Visit the ETEPEHI Store,"Magnetic Portable Charger for iPhone, Wireless Power Bank with USB-C Fast Charging for iPhone 16/16/16 Pro/Pro Max/15//14/13/12 Series(White)",75.99,25.59,4.9,206.0,,,
Xinhuaya,50000mAh Dual-USB Waterproof Solar Power Bank Battery Charger for Cell Phone,16.99,15.28,3.7,67.0,"https://i5.walmartimages.com/seo/50000mAh-Dual-USB-Waterproof-Solar-Power-Bank-Battery-Charger-for-Cell-Phone_516533c3-f01c-475c-bebd-045f1b1a1c26.f45270db73900f66e0d787bac02fd27a.jpeg?odnHeight=117&odnWidth=117&odnBg=FFFFFF', 'https://i5.walmartimages.com/seo/50000mAh-Dual-USB-Waterproof-Solar-Power-Bank-Battery-Charger-for-Cell-Phone_516533c3-f01c-475c-bebd-045f1b1a1c26.f45270db73900f66e0d787bac02fd27a.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF",,"selected, Green, $15.28Green$15.28"
Visit the Anker Store,"Anker 24000mAh Power Bank,PowerCore 24K, 3-Port Portable Charger Fast Charging,140W Output,Smart Digital Display",109.99,94.99,4.5,28.0,,,
Visit the Anker Store,"Anker Zolo Power Bank, 20,000mAh 30W Portable Charger with Built-in USB-C Cable",0.0,0.0,5.0,4.0,,,"10,000 mAh, $25.9910,000 mAh$25.99', 'selected, 20,000 mAh, $35.9920,000 mAh$35.99"
Sawpy,"Portable Charger Power Bank 50000mah,Ultra-High Capacity Safer External Cell Phone Battery Pack Compact with High-Performance Cells & 2 USB Output, Smart Charge for Smartphone Black",0.0,0.0,3.2,5.0,,,"selected, Black, $17.99Black$17.99"
Visit the OWNTECH Store,"OWNTECH Power Bank Portable Charger for iphone Android with USB c 5000mAh Mini Battery Pack Compatible with iPhone 15/14/13/12, Black",20.99,10.99,3.7,40.0,,,"selected, Black, $10.99Black$10.99', 'Pink, $10.99Pink$10.99', 'White, $10.99White$10.99"
Visit the OWNTECH Store,OWNTECH Power Bank Portable Charger for iphone android with usb c 5000mah Mini Battery Pack Compatible with iPhone 15/14/13/12,20.99,10.99,3.7,40.0,,,"Black, $10.99Black$10.99', 'selected, Pink, $10.99Pink$10.99', 'White, $10.99White$10.99"
Visit the OWNTECH Store,OWNTECH Power Bank Portable Charger for iphone android with usb c 5000mah Mini Battery Pack Compatible with iPhone 15/14/13/12,20.99,10.99,3.7,40.0,,,"Black, $10.99Black$10.99', 'Pink, $10.99Pink$10.99', 'selected, White, $10.99White$10.99"
JONKUU,"JONKUU 10000mAh  Portable Charger Power Bank, 22.5W USB C Fast Charging For iPhone and Android, 2 Inputs and 3 Outputs, LCD Digital Display, Black",0.0,0.0,4.4,8.0,,,"selected, Black, $11.69Black$11.69', 'Green, $11.69Green$11.69', 'Purple, $11.69Purple$11.69', 'White, $11.69White$11.69"
JONKUU,"JONKUU 10000mAh Power Bank, 22.5W USB C Fast Charging Portable Charger For iPhone and Android, 2 Inputs and 3 Outputs, LCD Digital Display, Green",0.0,0.0,4.4,8.0,,,"Black, $11.69Black$11.69', 'selected, Green, $11.69Green$11.69', 'Purple, $11.69Purple$11.69', 'White, $11.69White$11.69"
JONKUU,"Jonkuu 10000mAh Portable Charger Power Bank, Fast Charging with Dual USB, Digital Display for iPhone, purple",0.0,0.0,4.4,8.0,,,"Black, $11.69Black$11.69', 'Green, $11.69Green$11.69', 'selected, Purple, $11.69Purple$11.69', 'White, $11.69White$11.69"
JONKUU,"Jonkuu 10000mAh Portable Charger Power Bank, Fast Charging with Dual USB, Digital Display for iPhone, white",0.0,0.0,4.4,8.0,,,"Black, $11.69Black$11.69', 'Green, $11.69Green$11.69', 'Purple, $11.69Purple$11.69', 'selected, White, $11.69White$11.69"
Visit the Yelomin Store,Yelomin 10000mAh Portable Charger Wireless Magnetic Power Bank with Built in Cables Magsafe Battery Pack with Stand 15W Fast Charging for iPhone 15/14/13/12/Pro/Mini/Pro Max (Black)Travel Essentials,69.99,21.99,5.0,13.0,,,
Marinavida,"Waterproof 60000mAh Dual USB Portable Solar Battery Charger Solar Power Bank for iPhone, Mobile Cell Phone",0.0,0.0,4.0,13.0,,,"selected, Black, $16.47$16.47', 'Green, $16.37$16.37', 'Orange, $16.37$16.37"
Marinavida,"Waterproof 60000mAh Dual USB Portable Solar Battery Charger Solar Power Bank for iPhone, Mobile Cell Phone",0.0,0.0,4.0,13.0,,,"Black, $16.47$16.47', 'selected, Green, $16.37$16.37', 'Orange, $16.37$16.37"
Marinavida,"Waterproof 60000mAh Dual USB Portable Solar Battery Charger Solar Power Bank for iPhone, Mobile Cell Phone",0.0,0.0,4.0,13.0,,,"Black, $16.47$16.47', 'Green, $16.37$16.37', 'selected, Orange, $16.37$16.37"
